incident_id,service,severity,status,root_cause,opened_at,resolved_at,mttr_minutes,sla_minutes,sla_breached,assigned_to,notes
INC-0024,notification-service,P1,Resolved,Third-party API timeout,2025-06-21 01:08:58,2025-06-21 02:53:58,105,60,Yes,ANL-001,Incident on notification-service. Root cause: Third-party API timeout.
INC-0025,auth-service,P3,In Progress,DDoS attack pattern,2025-02-25 00:52:36,,,1440,No,ANL-002,Incident on auth-service. Root cause: DDoS attack pattern.
INC-0026,user-portal,P2,Open,Third-party API timeout,2026-03-24 13:21:49,,,240,No,ANL-002,Incident on user-portal. Root cause: Third-party API timeout.
INC-0027,payments-api,P4,Open,Database connection exhaustion,2026-05-27 20:19:43,,,4320,No,ANL-003,Incident on payments-api. Root cause: Database connection exhaustion.
INC-0028,auth-service,P3,Resolved,Memory leak,2025-11-09 17:24:16,2025-11-10 01:14:16,470,1440,No,ANL-001,Incident on auth-service. Root cause: Memory leak.
INC-0029,user-portal,P2,Resolved,Disk space exhaustion,2025-05-23 12:27:53,2025-05-23 18:31:53,364,240,Yes,ANL-004,Incident on user-portal. Root cause: Disk space exhaustion.
INC-0030,search-service,P2,In Progress,Database connection exhaustion,2025-02-09 07:02:05,,,240,No,ANL-001,Incident on search-service. Root cause: Database connection exhaustion.
INC-0031,user-portal,P4,Open,Disk space exhaustion,2026-01-13 05:00:24,,,4320,No,ANL-002,Incident on user-portal. Root cause: Disk space exhaustion.
INC-0032,reporting-engine,P4,Resolved,Memory leak,2025-10-31 05:59:20,2025-11-01 11:13:20,1754,4320,No,ANL-004,Incident on reporting-engine. Root cause: Memory leak.
INC-0033,payments-api,P2,Resolved,Certificate expiry,2025-05-28 11:57:10,2025-05-28 15:19:10,202,240,No,ANL-002,Incident on payments-api. Root cause: Certificate expiry.
INC-0034,auth-service,P4,Resolved,DDoS attack pattern,2025-02-14 09:38:16,2025-02-16 16:38:16,3300,4320,No,ANL-005,Incident on auth-service. Root cause: DDoS attack pattern.
INC-0035,auth-service,P3,Resolved,CPU spike from batch job,2025-03-04 05:23:09,2025-03-04 16:45:09,682,1440,No,ANL-001,Incident on auth-service. Root cause: CPU spike from batch job.
INC-0036,reporting-engine,P3,Resolved,Database connection exhaustion,2026-03-19 11:31:09,2026-03-20 01:32:09,841,1440,No,ANL-005,Incident on reporting-engine. Root cause: Database connection exhaustion.
INC-0037,email-relay,P3,Resolved,Third-party API timeout,2026-02-11 01:22:34,2026-02-11 21:40:34,1218,1440,No,ANL-003,Incident on email-relay. Root cause: Third-party API timeout.
INC-0038,database-cluster,P2,Resolved,Disk space exhaustion,2025-04-12 15:44:52,2025-04-12 17:45:52,121,240,No,ANL-004,Incident on database-cluster. Root cause: Disk space exhaustion.
INC-0039,auth-service,P3,In Progress,Network packet loss,2026-04-28 11:14:51,,,1440,No,ANL-001,Incident on auth-service. Root cause: Network packet loss.
INC-0040,user-portal,P1,Resolved,DDoS attack pattern,2025-02-23 10:21:46,2025-02-23 11:47:46,86,60,Yes,ANL-003,Incident on user-portal. Root cause: DDoS attack pattern.
INC-0041,database-cluster,P2,In Progress,Third-party API timeout,2026-05-23 23:00:07,,,240,No,ANL-001,Incident on database-cluster. Root cause: Third-party API timeout.
INC-0042,auth-service,P3,Resolved,Misconfiguration after deploy,2025-03-31 15:44:46,2025-04-01 01:16:46,572,1440,No,ANL-005,Incident on auth-service. Root cause: Misconfiguration after deploy.
INC-0043,api-gateway,P2,Resolved,Upstream dependency failure,2026-05-08 15:03:08,2026-05-08 20:06:08,303,240,Yes,ANL-005,Incident on api-gateway. Root cause: Upstream dependency failure.
INC-0044,payments-api,P3,Resolved,Disk space exhaustion,2025-08-03 21:41:35,2025-08-04 05:25:35,464,1440,No,ANL-001,Incident on payments-api. Root cause: Disk space exhaustion.
INC-0045,user-portal,P3,Open,Network packet loss,2026-03-05 12:04:06,,,1440,No,ANL-005,Incident on user-portal. Root cause: Network packet loss.
INC-0046,user-portal,P1,Resolved,CPU spike from batch job,2025-01-28 23:36:47,2025-01-29 01:30:47,114,60,Yes,ANL-005,Incident on user-portal. Root cause: CPU spike from batch job.
INC-0047,database-cluster,P3,Resolved,DDoS attack pattern,2025-01-31 23:41:39,2025-02-01 07:06:39,445,1440,No,ANL-002,Incident on database-cluster. Root cause: DDoS attack pattern.
INC-0048,search-service,P3,Resolved,Disk space exhaustion,2026-04-28 01:58:08,2026-04-28 20:02:08,1084,1440,No,ANL-002,Incident on search-service. Root cause: Disk space exhaustion.
INC-0049,auth-service,P4,Resolved,Memory leak,2025-05-20 07:31:30,2025-05-21 13:36:30,1805,4320,No,ANL-004,Incident on auth-service. Root cause: Memory leak.
INC-0050,database-cluster,P4,Open,Certificate expiry,2025-03-25 23:02:54,,,4320,No,ANL-001,Incident on database-cluster. Root cause: Certificate expiry.
INC-0051,api-gateway,P4,Resolved,Misconfiguration after deploy,2025-06-26 18:41:14,2025-07-02 09:41:14,8100,4320,Yes,ANL-001,Incident on api-gateway. Root cause: Misconfiguration after deploy.
INC-0052,payments-api,P3,In Progress,Misconfiguration after deploy,2025-09-30 17:50:17,,,1440,No,ANL-004,Incident on payments-api. Root cause: Misconfiguration after deploy.
INC-0053,auth-service,P3,Resolved,Database connection exhaustion,2025-07-22 21:24:15,2025-07-23 14:42:15,1038,1440,No,ANL-005,Incident on auth-service. Root cause: Database connection exhaustion.
INC-0054,email-relay,P4,Resolved,Disk space exhaustion,2025-09-26 12:04:29,2025-09-30 03:02:29,5218,4320,Yes,ANL-004,Incident on email-relay. Root cause: Disk space exhaustion.
INC-0055,payments-api,P3,Resolved,Upstream dependency failure,2025-07-17 20:22:18,2025-07-18 15:30:18,1148,1440,No,ANL-004,Incident on payments-api. Root cause: Upstream dependency failure.
INC-0056,auth-service,P1,Resolved,DDoS attack pattern,2025-12-01 23:57:58,2025-12-02 00:46:58,49,60,No,ANL-003,Incident on auth-service. Root cause: DDoS attack pattern.
INC-0057,database-cluster,P3,Open,CPU spike from batch job,2025-08-29 05:29:02,,,1440,No,ANL-003,Incident on database-cluster. Root cause: CPU spike from batch job.
INC-0058,notification-service,P3,Resolved,Disk space exhaustion,2025-10-22 11:46:48,2025-10-23 16:16:48,1710,1440,Yes,ANL-005,Incident on notification-service. Root cause: Disk space exhaustion.
INC-0059,database-cluster,P3,Open,Misconfiguration after deploy,2025-06-13 06:05:21,,,1440,No,ANL-005,Incident on database-cluster. Root cause: Misconfiguration after deploy.
INC-0060,inventory-service,P3,Open,Upstream dependency failure,2026-02-02 00:58:26,,,1440,No,ANL-002,Incident on inventory-service. Root cause: Upstream dependency failure.
INC-0061,email-relay,P3,Resolved,DDoS attack pattern,2025-03-14 12:51:48,2025-03-16 11:40:48,2809,1440,Yes,ANL-003,Incident on email-relay. Root cause: DDoS attack pattern.
INC-0062,auth-service,P2,In Progress,Upstream dependency failure,2026-01-05 01:11:00,,,240,No,ANL-001,Incident on auth-service. Root cause: Upstream dependency failure.
INC-0063,auth-service,P3,Resolved,Network packet loss,2025-11-07 10:04:09,2025-11-07 22:42:09,758,1440,No,ANL-002,Incident on auth-service. Root cause: Network packet loss.
INC-0064,reporting-engine,P3,In Progress,Upstream dependency failure,2025-05-17 14:45:55,,,1440,No,ANL-004,Incident on reporting-engine. Root cause: Upstream dependency failure.
INC-0065,inventory-service,P1,In Progress,Certificate expiry,2025-12-27 21:34:39,,,60,No,ANL-005,Incident on inventory-service. Root cause: Certificate expiry.
INC-0066,payments-api,P3,In Progress,CPU spike from batch job,2025-11-28 11:01:27,,,1440,No,ANL-004,Incident on payments-api. Root cause: CPU spike from batch job.
INC-0067,inventory-service,P4,Resolved,Misconfiguration after deploy,2025-07-12 00:52:57,2025-07-14 03:16:57,3024,4320,No,ANL-005,Incident on inventory-service. Root cause: Misconfiguration after deploy.
INC-0068,payments-api,P3,Resolved,Misconfiguration after deploy,2025-07-02 03:16:37,2025-07-03 18:26:37,2350,1440,Yes,ANL-003,Incident on payments-api. Root cause: Misconfiguration after deploy.
INC-0069,user-portal,P3,Resolved,Upstream dependency failure,2025-10-25 12:17:43,2025-10-25 23:00:43,643,1440,No,ANL-002,Incident on user-portal. Root cause: Upstream dependency failure.
INC-0070,auth-service,P1,Resolved,Disk space exhaustion,2025-02-18 08:43:01,2025-02-18 09:32:01,49,60,No,ANL-004,Incident on auth-service. Root cause: Disk space exhaustion.
INC-0071,email-relay,P3,Resolved,Disk space exhaustion,2026-01-06 11:32:48,2026-01-06 18:12:48,400,1440,No,ANL-003,Incident on email-relay. Root cause: Disk space exhaustion.
INC-0072,search-service,P2,Resolved,CPU spike from batch job,2026-04-14 13:26:35,2026-04-14 16:13:35,167,240,No,ANL-004,Incident on search-service. Root cause: CPU spike from batch job.
INC-0073,reporting-engine,P2,Resolved,DDoS attack pattern,2025-11-11 01:00:32,2025-11-11 02:07:32,67,240,No,ANL-004,Incident on reporting-engine. Root cause: DDoS attack pattern.
INC-0074,auth-service,P4,In Progress,Disk space exhaustion,2026-04-05 17:40:51,,,4320,No,ANL-001,Incident on auth-service. Root cause: Disk space exhaustion.
INC-0075,user-portal,P2,Open,Memory leak,2025-07-22 01:39:54,,,240,No,ANL-003,Incident on user-portal. Root cause: Memory leak.
INC-0076,database-cluster,P2,Resolved,Disk space exhaustion,2025-07-15 22:40:55,2025-07-16 01:17:55,157,240,No,ANL-004,Incident on database-cluster. Root cause: Disk space exhaustion.
INC-0077,payments-api,P1,Resolved,Database connection exhaustion,2026-05-22 05:35:14,2026-05-22 06:12:14,37,60,No,ANL-001,Incident on payments-api. Root cause: Database connection exhaustion.
INC-0078,email-relay,P4,Resolved,Certificate expiry,2025-07-05 06:48:00,2025-07-08 09:44:00,4496,4320,Yes,ANL-004,Incident on email-relay. Root cause: Certificate expiry.
INC-0079,inventory-service,P3,Resolved,Misconfiguration after deploy,2025-10-14 12:42:16,2025-10-15 02:08:16,806,1440,No,ANL-005,Incident on inventory-service. Root cause: Misconfiguration after deploy.
INC-0080,user-portal,P3,In Progress,Misconfiguration after deploy,2025-03-25 23:06:24,,,1440,No,ANL-001,Incident on user-portal. Root cause: Misconfiguration after deploy.
INC-0081,reporting-engine,P4,In Progress,Upstream dependency failure,2025-03-01 00:40:37,,,4320,No,ANL-002,Incident on reporting-engine. Root cause: Upstream dependency failure.
INC-0082,email-relay,P2,Resolved,Database connection exhaustion,2026-03-16 13:44:50,2026-03-16 17:39:50,235,240,No,ANL-003,Incident on email-relay. Root cause: Database connection exhaustion.
INC-0083,search-service,P3,Open,DDoS attack pattern,2025-01-10 19:51:11,,,1440,No,ANL-004,Incident on search-service. Root cause: DDoS attack pattern.
INC-0084,auth-service,P2,Resolved,Certificate expiry,2025-12-05 06:04:07,2025-12-05 09:46:07,222,240,No,ANL-005,Incident on auth-service. Root cause: Certificate expiry.
INC-0085,inventory-service,P4,Resolved,Disk space exhaustion,2026-04-06 04:31:38,2026-04-11 22:41:38,8290,4320,Yes,ANL-003,Incident on inventory-service. Root cause: Disk space exhaustion.
INC-0086,database-cluster,P4,Open,Network packet loss,2025-07-09 09:56:38,,,4320,No,ANL-005,Incident on database-cluster. Root cause: Network packet loss.
INC-0087,inventory-service,P3,Open,DDoS attack pattern,2025-05-22 05:44:26,,,1440,No,ANL-002,Incident on inventory-service. Root cause: DDoS attack pattern.
INC-0088,payments-api,P3,Resolved,Misconfiguration after deploy,2026-03-08 16:41:44,2026-03-10 02:23:44,2022,1440,Yes,ANL-005,Incident on payments-api. Root cause: Misconfiguration after deploy.
INC-0089,inventory-service,P4,Open,CPU spike from batch job,2025-07-06 15:57:46,,,4320,No,ANL-004,Incident on inventory-service. Root cause: CPU spike from batch job.
INC-0090,notification-service,P3,Resolved,Disk space exhaustion,2025-07-08 23:32:13,2025-07-10 09:44:13,2052,1440,Yes,ANL-005,Incident on notification-service. Root cause: Disk space exhaustion.
INC-0091,auth-service,P3,Resolved,CPU spike from batch job,2025-09-14 22:23:48,2025-09-15 16:07:48,1064,1440,No,ANL-004,Incident on auth-service. Root cause: CPU spike from batch job.
INC-0092,notification-service,P2,In Progress,DDoS attack pattern,2025-04-03 20:39:42,,,240,No,ANL-002,Incident on notification-service. Root cause: DDoS attack pattern.
INC-0093,email-relay,P2,Resolved,CPU spike from batch job,2026-04-09 12:59:08,2026-04-09 15:09:08,130,240,No,ANL-001,Incident on email-relay. Root cause: CPU spike from batch job.
INC-0094,user-portal,P4,In Progress,Misconfiguration after deploy,2025-01-11 23:44:40,,,4320,No,ANL-002,Incident on user-portal. Root cause: Misconfiguration after deploy.
INC-0095,database-cluster,P2,Open,Certificate expiry,2026-05-11 10:45:07,,,240,No,ANL-001,Incident on database-cluster. Root cause: Certificate expiry.
INC-0096,inventory-service,P4,Resolved,Network packet loss,2025-09-22 15:13:08,2025-09-24 17:15:08,3002,4320,No,ANL-001,Incident on inventory-service. Root cause: Network packet loss.
INC-0097,payments-api,P2,Resolved,Disk space exhaustion,2026-01-17 22:49:13,2026-01-18 00:18:13,89,240,No,ANL-005,Incident on payments-api. Root cause: Disk space exhaustion.
INC-0098,auth-service,P3,Resolved,Misconfiguration after deploy,2025-03-08 03:53:13,2025-03-09 09:08:13,1755,1440,Yes,ANL-001,Incident on auth-service. Root cause: Misconfiguration after deploy.
INC-0099,payments-api,P3,Open,Disk space exhaustion,2025-12-16 22:11:53,,,1440,No,ANL-003,Incident on payments-api. Root cause: Disk space exhaustion.
INC-0100,email-relay,P4,In Progress,Third-party API timeout,2025-02-16 18:46:27,,,4320,No,ANL-001,Incident on email-relay. Root cause: Third-party API timeout.
INC-0101,database-cluster,P4,Resolved,Database connection exhaustion,2025-05-02 23:45:23,2025-05-07 04:43:23,6058,4320,Yes,ANL-002,Incident on database-cluster. Root cause: Database connection exhaustion.
INC-0102,inventory-service,P3,Resolved,Third-party API timeout,2025-12-31 23:48:12,2026-01-02 13:54:12,2286,1440,Yes,ANL-001,Incident on inventory-service. Root cause: Third-party API timeout.
INC-0103,payments-api,P2,In Progress,Upstream dependency failure,2025-07-25 11:39:20,,,240,No,ANL-002,Incident on payments-api. Root cause: Upstream dependency failure.
INC-0104,database-cluster,P3,Resolved,Certificate expiry,2025-02-25 11:10:33,2025-02-25 22:15:33,665,1440,No,ANL-002,Incident on database-cluster. Root cause: Certificate expiry.
INC-0105,auth-service,P4,Open,Network packet loss,2025-04-07 14:07:12,,,4320,No,ANL-003,Incident on auth-service. Root cause: Network packet loss.
INC-0106,search-service,P3,Resolved,Network packet loss,2025-12-07 00:25:00,2025-12-07 23:29:00,1384,1440,No,ANL-005,Incident on search-service. Root cause: Network packet loss.
INC-0107,email-relay,P1,Resolved,Misconfiguration after deploy,2025-01-21 02:09:23,2025-01-21 02:44:23,35,60,No,ANL-002,Incident on email-relay. Root cause: Misconfiguration after deploy.
INC-0108,email-relay,P4,In Progress,Memory leak,2025-07-29 08:02:58,,,4320,No,ANL-001,Incident on email-relay. Root cause: Memory leak.
INC-0109,inventory-service,P4,In Progress,Misconfiguration after deploy,2025-05-21 23:12:10,,,4320,No,ANL-004,Incident on inventory-service. Root cause: Misconfiguration after deploy.
INC-0110,payments-api,P3,Resolved,DDoS attack pattern,2025-11-14 04:09:36,2025-11-14 13:15:36,546,1440,No,ANL-003,Incident on payments-api. Root cause: DDoS attack pattern.
INC-0111,reporting-engine,P3,Open,Network packet loss,2025-08-12 20:46:08,,,1440,No,ANL-005,Incident on reporting-engine. Root cause: Network packet loss.
INC-0112,auth-service,P1,In Progress,Database connection exhaustion,2025-11-10 22:22:08,,,60,No,ANL-001,Incident on auth-service. Root cause: Database connection exhaustion.
INC-0113,auth-service,P3,Resolved,Upstream dependency failure,2026-02-07 16:24:38,2026-02-08 12:30:38,1206,1440,No,ANL-005,Incident on auth-service. Root cause: Upstream dependency failure.
INC-0114,auth-service,P4,In Progress,Upstream dependency failure,2025-07-27 10:17:20,,,4320,No,ANL-002,Incident on auth-service. Root cause: Upstream dependency failure.
INC-0115,inventory-service,P4,In Progress,Database connection exhaustion,2025-01-23 10:09:55,,,4320,No,ANL-002,Incident on inventory-service. Root cause: Database connection exhaustion.
INC-0116,search-service,P3,Resolved,Disk space exhaustion,2025-03-14 09:32:43,2025-03-14 16:00:43,388,1440,No,ANL-001,Incident on search-service. Root cause: Disk space exhaustion.
INC-0117,inventory-service,P3,Resolved,Misconfiguration after deploy,2026-01-31 06:03:42,2026-02-01 11:28:42,1765,1440,Yes,ANL-004,Incident on inventory-service. Root cause: Misconfiguration after deploy.
INC-0118,inventory-service,P4,Open,CPU spike from batch job,2025-04-23 08:19:18,,,4320,No,ANL-002,Incident on inventory-service. Root cause: CPU spike from batch job.
INC-0119,auth-service,P4,Resolved,Misconfiguration after deploy,2025-11-19 07:05:14,2025-11-20 10:24:14,1639,4320,No,ANL-005,Incident on auth-service. Root cause: Misconfiguration after deploy.
INC-0120,database-cluster,P2,Open,Third-party API timeout,2026-03-27 10:33:19,,,240,No,ANL-002,Incident on database-cluster. Root cause: Third-party API timeout.
INC-0121,payments-api,P3,Open,CPU spike from batch job,2025-10-20 23:42:18,,,1440,No,ANL-003,Incident on payments-api. Root cause: CPU spike from batch job.
INC-0122,email-relay,P4,Open,Disk space exhaustion,2025-07-01 09:55:10,,,4320,No,ANL-001,Incident on email-relay. Root cause: Disk space exhaustion.
INC-0123,reporting-engine,P3,Resolved,Certificate expiry,2026-01-20 17:35:42,2026-01-21 12:35:42,1140,1440,No,ANL-002,Incident on reporting-engine. Root cause: Certificate expiry.
INC-0124,inventory-service,P3,Open,Database connection exhaustion,2026-02-13 12:26:19,,,1440,No,ANL-001,Incident on inventory-service. Root cause: Database connection exhaustion.
INC-0125,payments-api,P3,Resolved,Network packet loss,2025-07-25 20:22:57,2025-07-26 07:38:57,676,1440,No,ANL-005,Incident on payments-api. Root cause: Network packet loss.
INC-0126,auth-service,P3,Open,Disk space exhaustion,2025-09-03 22:59:30,,,1440,No,ANL-005,Incident on auth-service. Root cause: Disk space exhaustion.
INC-0127,database-cluster,P1,Open,Upstream dependency failure,2025-03-12 04:47:34,,,60,No,ANL-001,Incident on database-cluster. Root cause: Upstream dependency failure.
INC-0128,inventory-service,P4,Resolved,Certificate expiry,2025-08-21 14:27:08,2025-08-22 15:18:08,1491,4320,No,ANL-001,Incident on inventory-service. Root cause: Certificate expiry.
INC-0129,api-gateway,P3,Resolved,Disk space exhaustion,2025-04-24 01:37:03,2025-04-25 14:01:03,2184,1440,Yes,ANL-005,Incident on api-gateway. Root cause: Disk space exhaustion.
INC-0130,user-portal,P3,In Progress,Certificate expiry,2025-03-03 08:04:36,,,1440,No,ANL-004,Incident on user-portal. Root cause: Certificate expiry.
INC-0131,user-portal,P3,Resolved,Upstream dependency failure,2025-12-25 04:27:26,2025-12-27 00:31:26,2644,1440,Yes,ANL-004,Incident on user-portal. Root cause: Upstream dependency failure.
INC-0132,payments-api,P2,Resolved,Misconfiguration after deploy,2026-03-01 13:19:40,2026-03-01 20:54:40,455,240,Yes,ANL-001,Incident on payments-api. Root cause: Misconfiguration after deploy.
INC-0133,auth-service,P3,Resolved,Misconfiguration after deploy,2025-12-21 20:02:12,2025-12-22 12:14:12,972,1440,No,ANL-002,Incident on auth-service. Root cause: Misconfiguration after deploy.
INC-0134,notification-service,P4,Resolved,Disk space exhaustion,2026-03-21 05:24:42,2026-03-22 06:40:42,1516,4320,No,ANL-005,Incident on notification-service. Root cause: Disk space exhaustion.
INC-0135,reporting-engine,P2,In Progress,Misconfiguration after deploy,2025-01-07 06:57:25,,,240,No,ANL-001,Incident on reporting-engine. Root cause: Misconfiguration after deploy.
INC-0136,notification-service,P4,Resolved,Third-party API timeout,2025-10-01 15:44:19,2025-10-03 05:16:19,2252,4320,No,ANL-002,Incident on notification-service. Root cause: Third-party API timeout.
INC-0137,payments-api,P3,Open,Memory leak,2025-08-28 22:55:34,,,1440,No,ANL-001,Incident on payments-api. Root cause: Memory leak.
INC-0138,database-cluster,P3,Resolved,DDoS attack pattern,2025-11-19 17:32:20,2025-11-20 02:36:20,544,1440,No,ANL-002,Incident on database-cluster. Root cause: DDoS attack pattern.
INC-0139,search-service,P2,Resolved,CPU spike from batch job,2025-07-31 16:16:40,2025-07-31 18:49:40,153,240,No,ANL-003,Incident on search-service. Root cause: CPU spike from batch job.
INC-0140,auth-service,P4,Resolved,Database connection exhaustion,2025-12-30 18:19:47,2026-01-01 08:27:47,2288,4320,No,ANL-002,Incident on auth-service. Root cause: Database connection exhaustion.
INC-0141,search-service,P4,Open,DDoS attack pattern,2025-03-12 03:22:03,,,4320,No,ANL-001,Incident on search-service. Root cause: DDoS attack pattern.
INC-0142,database-cluster,P2,Resolved,Third-party API timeout,2025-10-23 22:49:48,2025-10-24 04:33:48,344,240,Yes,ANL-001,Incident on database-cluster. Root cause: Third-party API timeout.
INC-0143,payments-api,P3,Resolved,Upstream dependency failure,2026-05-19 01:06:55,2026-05-19 18:17:55,1031,1440,No,ANL-004,Incident on payments-api. Root cause: Upstream dependency failure.
INC-0144,payments-api,P4,Resolved,Certificate expiry,2025-02-05 05:19:32,2025-02-07 03:11:32,2752,4320,No,ANL-003,Incident on payments-api. Root cause: Certificate expiry.
INC-0145,search-service,P4,Open,Certificate expiry,2025-10-29 20:53:00,,,4320,No,ANL-003,Incident on search-service. Root cause: Certificate expiry.
INC-0146,email-relay,P3,Resolved,Certificate expiry,2025-11-19 06:00:29,2025-11-20 02:18:29,1218,1440,No,ANL-004,Incident on email-relay. Root cause: Certificate expiry.
INC-0147,auth-service,P3,Open,DDoS attack pattern,2025-06-18 18:12:01,,,1440,No,ANL-004,Incident on auth-service. Root cause: DDoS attack pattern.
INC-0148,api-gateway,P4,Resolved,CPU spike from batch job,2026-05-16 20:26:34,2026-05-17 21:12:34,1486,4320,No,ANL-001,Incident on api-gateway. Root cause: CPU spike from batch job.
INC-0149,inventory-service,P3,In Progress,Database connection exhaustion,2025-06-14 17:56:20,,,1440,No,ANL-001,Incident on inventory-service. Root cause: Database connection exhaustion.
INC-0150,email-relay,P1,In Progress,Upstream dependency failure,2025-02-23 06:59:09,,,60,No,ANL-002,Incident on email-relay. Root cause: Upstream dependency failure.
INC-0151,api-gateway,P3,Resolved,Certificate expiry,2026-04-08 21:54:10,2026-04-09 11:51:10,837,1440,No,ANL-003,Incident on api-gateway. Root cause: Certificate expiry.
INC-0152,search-service,P4,Resolved,Misconfiguration after deploy,2025-05-16 12:51:43,2025-05-20 06:45:43,5394,4320,Yes,ANL-001,Incident on search-service. Root cause: Misconfiguration after deploy.
INC-0153,email-relay,P2,Resolved,DDoS attack pattern,2025-01-13 06:10:50,2025-01-13 08:10:50,120,240,No,ANL-003,Incident on email-relay. Root cause: DDoS attack pattern.
INC-0154,payments-api,P1,Open,Database connection exhaustion,2026-01-05 21:52:05,,,60,No,ANL-003,Incident on payments-api. Root cause: Database connection exhaustion.
INC-0155,notification-service,P3,In Progress,Third-party API timeout,2025-02-03 16:22:58,,,1440,No,ANL-003,Incident on notification-service. Root cause: Third-party API timeout.
INC-0156,inventory-service,P3,Resolved,Disk space exhaustion,2025-11-28 02:18:58,2025-11-28 10:22:58,484,1440,No,ANL-004,Incident on inventory-service. Root cause: Disk space exhaustion.
INC-0157,api-gateway,P3,Resolved,Third-party API timeout,2025-04-26 05:08:34,2025-04-26 13:53:34,525,1440,No,ANL-002,Incident on api-gateway. Root cause: Third-party API timeout.
INC-0158,api-gateway,P2,In Progress,Disk space exhaustion,2026-04-10 00:11:28,,,240,No,ANL-003,Incident on api-gateway. Root cause: Disk space exhaustion.
